6000 3
6 196 196
115 100 99
211 210 165
177 119 49
164 61 67
220 188 21
41 16 4
211 118 170
228 175 99
61 138 214
88 122 55
28 122 175
50 142 178
139 43 225
196 0 14
19 189 4
194 153 218
111 218 223
144 156 253
36 221 90
202 169 102
47 32 153
124 115 242
175 161 187
49 116 251
44 142 8
178 182 152
68 198 33
218 240 232
164 18 24
210 190 229
169 46 178
214 111 97
72 137 83
143 49 146
114 50 148
216 66 132
6 45 231
144 122 236
183 41 74
211 116 194
64 234 56
65 206 175
185 214 86
215 59 55
137 28 255
248 157 46
48 60 58
23 65 186
126 151 32
90 83 139
44 67 137
196 129 66
98 224 29
80 149 125
184 35 34
133 31 132
31 46 109
245 34 38
54 208 219
144 86 78
59 166 33
223 123 14
133 198 155
146 96 132
244 12 66
16 39 175
211 119 242
67 13 74
42 109 196
214 107 252
243 29 36
97 106 178
236 214 139
197 63 149
57 107 207
10 190 122
172 230 10
57 109 155
175 149 16
97 181 1
59 184 164
2 171 82
151 218 22
198 158 98
167 246 87
125 53 114
243 12 69
110 104 126
107 27 107
244 185 44
97 155 51
221 121 108
89 148 138
30 58 252
178 17 174
13 198 133
243 125 140
254 115 219
178 253 98
136 245 206
173 175 195
104 115 148
21 89 71
131 77 129
102 100 56
123 76 241
137 55 79
136 32 124
105 87 162
156 165 182
255 160 122
201 158 128
246 178 128
47 243 90
2 13 103
45 65 162
210 3 190
77 105 113
0 183 184
21 146 161
17 221 58
37 52 239
166 117 200
205 141 114
190 92 56
207 44 230
21 142 72
177 60 247
239 243 37
96 37 15
54 242 172
56 160 144
207 220 199
82 192 7
51 222 152
185 39 75
45 101 41
26 108 87
230 123 18
34 202 22
193 236 225
195 29 113
112 219 105
241 17 219
135 242 237
255 163 104
220 168 71
64 254 199
154 188 52
84 99 247
172 110 107
149 157 183
74 14 85
205 253 106
191 115 61
76 26 200
128 197 183
137 175 19
124 39 200
87 212 51
82 13 214
136 45 12
76 210 103
241 192 19
187 32 183
12 24 136
180 58 13
79 202 248
46 74 90
87 23 66
237 239 9
0 89 77
133 47 113
253 158 234
220 143 64
158 184 42
73 245 52
240 212 247
10 64 200
187 117 217
194 193 240
12 78 229
117 171 162
120 78 173
250 84 105
113 16 254
56 21 24
235 42 147
172 170 233
47 162 221
1 37 224
179 129 47
49 244 59
253 109 15
234 87 218
207 192 113
198 118 236
167 173 161
39 174 113
214 7 206
115 54 161
105 176 104
149 248 160
215 94 15
4 157 157
38 102 83
34 136 147
244 231 211
178 28 130
56 167 112
68 14 38
196 125 177
243 7 150
237 217 32
52 253 15
18 182 68
163 178 134
72 206 16
139 159 33
90 105 39
69 64 240
85 10 152
101 48 2
168 15 225
151 68 36
196 62 5
223 226 7
200 146 92
200 138 117
227 29 235
174 45 23
129 47 107
224 19 213
253 202 238
244 250 159
116 136 117
28 94 109
250 188 26
230 33 174
32 131 219
217 49 90
211 87 178
193 95 91
149 79 65
152 206 242
12 95 34
47 163 132
172 253 151
233 134 36
232 202 204
25 221 223
216 86 193
251 230 152
25 114 255
131 126 10
209 164 141
6 83 188
51 176 35
114 157 84
76 160 174
88 22 109
187 103 129
128 67 10
190 115 116
169 87 239
246 56 72
34 102 203
223 210 159
4 135 235
21 138 211
59 175 221
82 93 22
91 147 198
54 187 210
161 116 121
200 109 59
122 89 172
115 208 39
48 10 70
40 254 62
0 226 64
107 242 90
230 196 138
187 90 28
229 236 74
201 171 64
84 65 212
10 242 92
171 40 63
85 153 240
177 162 68
9 147 45
152 53 21
137 196 231
195 1 232
163 43 38
24 102 59
229 95 229
244 184 100
172 251 36
192 39 254
185 113 13
163 254 176
66 34 150
103 224 210
4 245 209
168 40 43
141 15 91
98 198 37
39 70 248
242 124 17
57 216 210
114 130 122
104 138 98
151 82 131
169 26 101
165 241 242
161 68 17
77 144 200
181 175 89
145 169 133
100 94 76
202 226 142
233 150 161
3 53 90
189 94 112
14 169 98
77 124 232
115 45 79
255 169 12
10 178 110
71 106 1
139 6 91
243 123 112
130 198 92
252 152 205
134 144 229
123 117 250
31 133 96
139 130 208
225 67 57
192 31 85
127 248 116
71 106 228
103 242 229
236 226 224
215 131 87
37 22 163
92 69 180
232 116 82
24 42 107
16 214 93
97 190 135
203 40 87
210 24 179
244 54 174
69 99 151
95 83 76
150 90 163
72 197 167
62 59 223
110 89 222
163 131 180
98 225 250
73 66 139
96 120 239
112 27 118
90 124 196
94 187 90
86 88 155
14 244 185
103 2 7
237 18 144
121 251 20
190 206 127
229 188 58
83 49 204
254 224 12
107 82 244
53 192 114
191 144 71
225 8 0
175 127 24
101 200 128
117 187 252
167 44 144
228 43 57
29 211 250
132 166 199
16 46 45
218 232 83
205 12 16
201 41 180
54 93 158
86 98 52
61 231 239
0 150 53
124 132 242
218 240 227
137 53 1
18 85 223
154 22 145
80 4 223
196 32 208
211 208 146
190 212 240
171 237 63
201 173 42
187 119 32
126 235 66
147 204 137
117 255 211
73 80 227
200 186 22
64 37 252
64 105 56
238 80 93
36 149 111
224 60 98
24 41 79
30 190 179
56 36 215
68 249 26
130 155 159
80 20 207
31 187 25
232 234 113
203 146 133
255 208 154
88 152 56
166 24 3
180 16 53
58 3 41
175 26 153
50 225 184
110 62 126
208 225 239
224 78 153
236 84 143
104 213 178
171 6 52
154 91 169
108 227 93
145 227 31
238 61 89
54 171 6
252 36 133
243 123 242
62 23 245
16 21 241
80 159 7
195 169 228
166 130 85
90 236 206
97 150 66
47 248 72
73 27 119
249 89 114
95 60 255
148 182 35
157 230 173
177 188 78
157 212 245
107 138 89
86 55 43
69 133 164
29 175 148
139 158 192
3 186 126
220 144 80
212 13 73
140 58 212
152 178 201
98 58 128
32 252 124
114 249 68
18 132 222
142 67 236
147 23 32
174 33 244
10 251 65
142 242 145
181 250 247
43 231 174
69 187 153
79 36 133
164 192 4
149 205 198
78 124 223
25 42 4
122 248 61
57 69 163
210 216 113
41 218 92
160 159 135
97 90 222
8 142 149
99 64 153
127 179 164
190 143 181
240 195 236
35 39 226
150 163 121
190 219 109
0 60 14
13 129 74
70 232 132
65 244 193
229 53 129
231 165 35
74 216 1
187 223 17
151 216 198
178 143 183
130 164 217
70 0 249
79 195 253
100 189 111
10 49 72
94 187 97
40 206 173
106 230 77
230 18 151
214 118 234
65 128 8
102 166 217
123 151 152
72 110 38
240 37 212
59 86 57
124 165 184
32 220 30
122 51 159
209 149 154
96 140 45
28 43 0
91 3 195
176 72 29
102 80 24
106 93 134
176 167 77
226 252 173
146 139 144
109 37 206
104 236 255
98 113 138
168 94 115
83 47 57
182 60 187
9 90 66
126 236 12
151 164 135
174 245 65
205 95 106
176 204 200
59 43 79
197 204 4
94 206 248
159 234 232
26 63 80
102 204 159
50 137 63
182 47 42
232 107 227
20 40 198
156 180 133
89 178 136
201 9 4
198 74 218
240 137 115
230 233 46
89 100 23
71 17 71
63 114 55
3 247 105
168 201 116
148 63 146
159 43 83
15 101 180
82 170 179
30 186 144
178 96 4
189 3 54
81 245 10
195 233 47
6 173 14
117 239 70
43 90 117
65 156 255
88 35 253
180 150 12
106 4 167
190 225 189
216 253 156
26 45 151
130 221 125
55 70 185
29 141 126
231 38 74
182 97 44
24 171 50
19 149 226
223 80 242
34 66 49
56 233 73
114 160 8
179 213 188
249 107 160
230 105 67
77 197 180
112 158 46
137 241 120
159 87 248
237 117 81
175 245 92
234 130 78
67 32 203
4 13 33
6 106 180
70 254 236
213 105 239
174 37 123
128 111 40
30 79 229
59 184 56
141 196 132
19 251 75
199 198 155
117 101 166
91 203 71
42 209 83
155 239 46
3 182 160
131 141 160
66 137 151
49 223 36
128 249 135
123 29 59
105 40 103
55 211 173
127 51 161
35 188 89
0 49 123
0 32 202
187 126 140
3 34 208
249 13 176
208 33 49
244 42 155
109 7 130
16 76 173
91 81 110
222 64 129
141 105 3
20 13 142
172 163 155
206 109 117
209 188 236
249 37 198
32 73 41
164 112 176
54 172 122
149 198 181
169 112 41
128 166 158
217 67 138
134 53 168
163 195 126
11 175 55
221 45 102
210 179 15
98 70 180
43 221 41
149 60 119
188 98 69
222 103 51
214 35 227
40 189 172
210 205 176
157 2 118
157 98 200
116 227 219
160 92 110
20 61 61
54 253 214
4 240 158
241 210 119
34 46 239
60 16 90
216 171 161
217 221 31
120 132 183
199 103 101
231 222 255
82 25 91
115 181 46
188 149 87
244 78 52
5 171 186
170 83 35
55 27 109
134 48 47
214 201 5
1 119 120
169 246 202
248 101 217
11 175 246
134 41 132
55 4 11
66 158 86
123 37 177
226 100 136
25 220 58
136 203 5
111 174 229
53 188 48
171 64 9
41 33 143
231 70 97
119 178 230
142 194 107
14 251 222
63 29 4
57 164 253
5 213 58
254 215 4
152 50 252
249 168 207
121 118 67
247 16 200
242 240 5
39 201 82
72 226 170
34 57 130
176 250 47
91 240 30
213 115 247
40 65 44
242 205 86
48 238 143
195 5 24
88 0 197
12 153 170
28 4 210
122 21 195
152 101 17
41 211 31
15 130 7
178 194 192
179 219 16
142 109 199
234 35 70
197 236 94
225 131 50
101 16 127
222 218 47
7 152 81
224 244 166
8 51 39
71 197 125
138 176 116
168 2 59
129 210 219
36 195 46
73 216 18
55 255 247
21 209 171
235 21 88
185 20 31
142 83 217
30 88 234
165 116 191
117 143 25
60 56 20
165 198 192
89 42 223
174 89 59
114 123 184
121 211 28
48 241 5
213 219 10
213 162 24
250 94 184
170 17 87
226 56 83
112 184 220
46 228 85
49 132 129
12 171 223
130 82 119
166 246 224
151 248 119
33 240 180
149 80 4
251 156 62
132 49 86
216 47 89
52 223 103
71 34 139
162 246 51
108 9 234
215 142 170
181 72 133
62 68 211
55 128 36
163 172 81
88 112 51
101 64 132
42 43 120
113 90 93
58 134 160
45 24 166
6 161 140
84 70 160
88 57 182
157 16 209
246 85 30
231 26 15
198 0 7
127 239 227
53 15 108
34 236 63
115 92 23
152 83 211
242 84 105
14 53 201
95 13 104
142 59 37
86 124 72
164 254 97
237 199 8
106 175 70
90 10 98
219 59 19
201 204 100
85 134 61
228 170 65
133 113 47
122 238 188
21 176 255
156 60 55
41 77 209
5 143 115
68 236 234
198 226 77
42 213 139
27 113 46
101 186 35
15 75 152
54 150 101
71 53 134
166 169 55
130 42 43
23 173 218
224 171 11
32 200 71
235 108 80
155 63 117
212 177 224
58 68 246
15 16 130
46 211 180
126 254 248
230 39 36
249 84 154
227 198 26
207 152 200
90 138 71
218 50 23
96 159 131
95 65 27
75 70 48
1 240 135
210 150 72
233 56 194
66 198 25
16 253 230
221 245 231
101 237 109
229 5 174
141 172 236
244 245 75
173 49 29
176 217 121
149 217 142
222 241 92
31 70 122
167 251 185
57 139 56
106 1 221
177 215 247
197 130 33
193 150 33
225 137 242
115 237 144
121 222 72
80 226 49
223 176 254
170 16 176
109 154 214
106 6 220
58 133 31
36 255 192
62 252 54
27 231 218
63 107 251
123 218 39
198 228 34
148 126 171
39 21 87
41 23 190
26 45 224
97 34 254
44 18 245
246 110 244
10 34 210
184 130 0
213 7 146
149 105 145
31 121 161
89 225 92
246 116 106
240 157 118
131 184 161
92 34 6
88 97 240
215 232 237
123 68 186
136 133 149
1 47 56
172 189 119
236 13 4
114 177 98
184 169 28
117 46 255
178 61 117
8 216 191
27 77 149
176 166 209
192 195 137
225 31 75
183 37 200
51 194 142
58 107 46
236 71 158
125 132 154
210 249 155
150 27 190
179 27 206
76 188 143
219 114 86
197 24 46
57 200 91
96 97 9
33 253 238
227 43 148
232 230 117
77 8 145
220 16 214
203 244 90
143 57 39
37 217 223
12 225 62
213 202 157
215 189 2
158 246 233
53 167 67
254 210 193
218 25 183
55 169 210
153 67 6
57 0 1
234 55 92
68 206 55
188 247 33
130 80 149
217 69 179
136 200 172
164 84 139
106 45 169
8 247 201
92 223 161
164 147 150
86 65 29
130 26 20
81 146 188
114 231 248
229 206 53
156 240 230
42 78 146
66 103 232
78 155 59
235 58 28
102 203 128
91 114 141
137 21 104
44 60 150
43 73 244
135 122 169
65 129 229
87 248 8
138 63 153
3 88 9
177 223 17
148 247 22
74 44 251
142 211 123
233 213 194
183 16 243
240 80 238
213 186 183
104 252 201
25 23 236
87 197 87
232 203 131
11 156 177
184 40 4
19 154 225
78 176 48
27 58 59
162 239 64
248 63 121
79 187 180
115 34 11
85 233 255
135 188 55
168 89 119
39 94 81
25 249 101
171 209 91
69 191 115
163 5 175
187 172 46
228 52 250
123 44 178
56 43 213
105 74 148
190 21 193
163 122 9
255 44 25
91 27 208
178 24 59
100 203 135
30 75 117
95 209 143
250 180 227
31 193 180
14 121 11
203 205 46
189 146 170
134 224 238
31 231 23
216 185 111
151 103 218
105 39 100
236 145 111
142 63 3
208 49 55
169 173 73
190 61 64
61 26 90
150 118 251
225 202 247
73 224 188
88 4 37
247 43 122
98 24 189
38 79 171
74 156 138
53 47 201
53 14 75
152 82 44
67 204 137
185 15 24
132 251 122
25 68 235
67 132 50
223 197 210
207 79 189
193 52 217
14 54 72
8 128 39
228 25 210
37 9 203
137 37 27
147 45 252
102 146 148
61 183 224
130 183 167
99 43 68
17 66 196
63 194 145
90 40 28
62 199 153
187 212 16
74 51 196
165 102 180
197 95 96
180 240 106
145 192 176
231 95 48
215 50 59
218 212 142
251 140 219
48 72 128
25 67 32
44 63 9
125 75 22
236 159 227
89 35 92
149 76 56
87 49 171
21 18 78
67 90 99
11 195 23
91 102 243
220 8 71
136 23 186
76 70 19
141 243 163
89 50 231
118 212 21
249 152 89
59 78 111
69 129 32
60 71 179
6 50 115
3 160 179
24 160 187
1 58 139
235 129 2
23 120 92
230 47 238
94 223 6
35 223 27
59 4 137
157 184 69
190 13 244
205 232 177
151 249 176
42 158 17
236 50 211
242 124 204
18 160 180
187 121 213
115 245 61
158 217 51
232 243 57
246 196 108
236 74 95
214 89 233
179 80 235
105 30 96
143 205 249
245 7 242
163 178 245
96 58 160
134 247 105
226 246 43
224 168 154
212 207 130
119 4 222
131 72 4
148 198 126
13 46 110
105 62 48
58 49 56
216 167 90
143 14 5
119 10 239
168 150 210
204 90 72
107 6 129
128 144 193
230 25 112
100 14 95
0 120 74
134 17 245
72 103 191
227 228 33
100 76 91
38 129 196
251 252 105
38 198 255
116 40 187
52 13 153
192 89 244
8 59 174
59 45 40
217 163 81
23 249 254
97 189 211
168 28 89
147 229 44
23 218 37
182 253 242
28 49 138
21 108 122
149 243 98
199 211 39
17 139 170
88 174 70
52 210 16
16 184 48
211 67 69
77 168 120
3 53 3
18 27 189
121 135 11
191 47 10
217 13 22
204 13 179
113 184 77
126 136 247
210 222 236
227 52 236
126 77 58
19 255 40
30 33 97
158 4 223
48 230 221
232 97 12
228 16 141
116 173 220
231 138 149
2 205 142
123 189 251
142 11 183
109 253 19
157 128 35
16 56 107
170 227 241
60 81 86
151 216 8
144 157 215
242 72 125
142 104 17
27 86 104
55 67 212
207 73 62
101 64 252
107 73 223
67 136 108
229 183 68
74 112 37
134 242 34
218 75 31
163 156 9
62 234 223
244 200 247
162 133 93
163 76 126
155 204 120
177 179 86
181 113 120
147 169 158
77 192 178
220 124 111
121 200 2
77 219 60
214 245 132
245 203 119
255 197 95
169 189 250
182 232 140
44 187 50
75 45 173
82 169 214
242 1 225
15 44 150
183 225 164
98 128 152
32 159 149
247 138 166
90 153 135
8 38 151
63 231 85
116 4 177
33 130 55
215 167 105
103 169 204
37 163 84
140 233 165
51 66 35
222 216 130
142 88 81
153 236 76
4 248 49
181 204 96
28 159 162
235 183 36
226 197 52
133 221 191
99 163 222
188 248 95
78 124 136
140 67 103
45 136 230
126 147 128
151 107 242
216 213 97
4 149 233
6 7 136
41 93 248
60 153 189
130 49 99
73 52 152
141 100 158
141 156 155
250 151 54
66 202 126
155 106 137
45 189 217
56 176 62
102 62 74
115 10 29
180 209 140
214 151 6
213 205 57
6 220 249
241 225 184
150 99 239
20 149 236
77 234 77
2 70 181
202 31 70
203 252 71
126 38 236
30 59 89
106 50 85
91 232 195
93 196 68
166 162 167
155 161 23
226 54 135
83 227 105
88 86 230
144 217 108
184 197 107
108 83 83
244 254 64
156 102 19
49 230 123
133 50 90
68 86 44
69 170 205
120 160 105
75 246 204
150 90 11
119 9 123
210 61 11
238 241 33
137 32 42
150 111 133
97 8 136
229 231 140
176 54 6
93 53 127
39 168 35
99 13 45
180 109 188
132 133 131
120 31 8
48 89 241
216 201 248
177 205 125
82 246 230
101 135 246
104 91 8
232 118 183
198 132 227
171 86 117
135 4 69
156 181 97
103 223 174
129 74 27
10 174 204
226 142 137
146 244 99
121 177 90
13 253 49
137 77 68
42 190 236
38 91 136
85 150 87
57 108 198
67 162 124
119 173 110
100 21 5
137 100 133
137 119 39
114 157 109
95 210 40
120 101 70
176 137 57
5 33 191
45 214 30
228 134 44
175 124 226
179 44 54
252 229 30
139 203 44
43 137 79
208 84 10
212 83 136
34 134 155
153 197 248
135 89 161
221 9 119
222 152 244
77 255 67
169 77 120
3 190 23
234 30 20
229 203 49
162 182 108
112 9 219
205 242 247
200 102 130
85 227 6
230 187 7
181 206 42
165 107 113
211 36 43
8 111 156
33 204 78
86 232 183
61 69 127
141 160 210
88 131 101
121 97 28
1 47 148
212 127 131
77 138 41
149 40 110
104 179 88
2 173 131
223 145 64
106 13 9
102 113 174
207 71 79
21 34 142
200 16 208
249 69 140
154 176 178
105 111 1
71 167 221
89 58 107
90 217 106
177 79 165
113 252 90
90 135 201
71 28 179
8 156 9
82 122 15
159 248 80
246 125 122
104 77 168
81 196 245
202 162 155
42 64 196
123 218 197
33 149 204
116 238 35
208 0 147
88 70 106
241 246 126
216 108 174
84 47 239
126 82 122
237 110 140
225 43 26
189 128 108
238 85 18
83 171 118
157 229 192
127 39 27
96 40 255
21 94 8
84 241 186
186 140 221
173 63 43
124 10 234
100 202 18
99 237 228
235 252 93
247 98 27
176 250 98
153 93 8
84 10 90
135 84 114
238 30 150
89 241 210
57 123 179
6 86 155
145 19 59
192 117 169
66 192 50
129 76 255
53 39 119
132 23 219
96 164 142
247 140 118
114 153 233
44 106 91
251 33 171
232 9 5
128 42 193
224 30 170
1 104 6
154 135 229
185 187 63
66 168 214
130 181 52
71 185 89
113 226 28
130 112 178
228 242 132
16 205 179
53 49 49
114 4 126
154 139 129
41 111 53
98 166 89
92 43 113
255 87 233
244 237 252
59 94 251
124 107 196
119 52 185
59 39 145
200 242 104
142 254 185
244 101 199
173 92 191
203 220 116
67 112 61
190 227 140
208 231 60
31 194 44
16 156 96
233 249 245
237 198 183
179 55 27
136 150 137
111 182 209
30 71 5
146 161 249
207 129 253
231 141 122
17 93 150
164 134 29
160 142 150
206 230 187
62 247 166
2 163 159
199 118 142
232 137 28
194 216 84
139 215 117
251 205 38
134 45 243
179 216 201
165 158 7
120 9 77
64 197 97
92 72 113
150 44 190
147 91 50
79 40 193
144 237 185
250 128 69
31 246 61
54 168 53
162 158 14
205 212 170
85 75 142
95 5 40
2 119 247
47 194 227
153 132 92
206 31 215
75 30 153
228 178 90
160 218 253
192 252 79
157 97 228
207 98 41
166 99 192
80 71 194
187 106 233
189 144 2
192 158 227
193 56 230
79 72 124
218 18 109
246 5 122
6 150 15
99 37 47
1 44 248
241 218 5
209 4 229
214 108 80
246 205 185
171 18 177
29 76 34
232 97 196
23 143 212
10 81 204
252 26 244
0 187 48
123 215 255
96 62 106
96 47 122
177 65 57
101 45 69
89 249 224
164 204 182
61 251 66
60 239 240
116 16 93
96 70 213
194 60 164
1 224 105
30 166 69
253 43 42
55 135 87
43 101 245
137 27 158
250 84 175
116 4 9
114 255 175
111 191 64
96 246 98
63 3 249
77 174 82
174 172 77
185 107 45
230 238 15
107 189 85
151 119 241
103 188 185
212 47 105
95 169 239
130 133 254
133 131 31
86 156 40
253 64 221
5 249 126
230 34 47
188 243 32
211 151 26
35 113 45
177 147 193
150 191 224
191 162 200
3 205 3
214 250 152
1 248 31
131 93 63
249 4 65
53 54 219
98 136 214
242 95 226
201 34 88
195 217 212
159 95 9
244 220 3
91 31 110
211 227 5
146 94 33
10 215 49
78 123 176
212 128 144
240 94 246
159 100 188
222 74 85
17 81 174
60 125 220
37 164 167
41 232 62
144 5 30
249 201 160
230 213 109
100 100 4
234 224 85
7 55 29
20 55 62
235 237 197
198 202 215
23 14 171
82 93 83
85 55 193
56 253 136
95 202 236
187 73 119
123 15 57
5 35 114
118 4 241
15 125 162
234 46 88
149 40 150
127 158 170
193 10 188
81 29 38
44 108 147
36 126 235
230 88 121
149 12 126
88 40 44
171 10 87
96 183 114
137 221 67
59 97 80
210 135 63
82 158 210
0 180 108
182 77 18
164 19 74
178 170 216
65 42 225
16 28 35
207 132 47
78 69 120
196 144 58
172 38 178
248 200 230
38 163 118
30 252 4
202 80 133
113 68 149
213 31 235
194 197 150
110 87 170
14 61 101
150 58 124
63 204 115
21 23 91
174 73 7
96 58 115
156 190 132
201 201 171
124 72 150
219 167 140
231 23 149
8 28 89
175 91 250
200 100 94
213 73 254
125 76 212
211 175 81
5 218 219
138 160 157
40 55 18
2 106 157
104 61 167
57 234 146
151 165 150
21 122 104
74 172 91
236 151 219
131 168 246
208 219 23
203 58 138
167 5 125
229 128 143
247 50 232
192 185 40
125 220 3
2 111 124
23 183 177
101 93 205
221 139 206
171 45 214
8 117 160
232 32 49
105 89 165
169 137 159
10 124 54
17 90 154
191 121 11
152 61 35
211 151 49
229 251 206
178 69 176
44 11 49
255 157 216
244 139 1
5 83 201
196 205 201
222 152 16
34 65 36
247 69 235
63 74 227
5 192 121
17 126 34
63 159 129
122 250 99
37 139 108
250 58 40
67 21 212
46 233 99
9 142 135
20 235 237
56 116 177
123 33 140
31 166 125
241 196 41
152 83 16
134 58 47
250 98 159
135 90 173
155 30 123
155 184 156
41 95 202
186 94 30
12 20 239
103 134 146
165 4 128
92 166 26
40 134 13
18 188 112
44 178 191
239 218 23
101 33 178
138 125 240
75 244 8
21 73 46
116 165 242
196 165 80
50 183 163
230 141 129
82 165 167
152 4 97
222 52 244
133 55 123
194 40 157
67 9 10
194 239 23
245 47 194
71 142 148
69 96 109
102 194 199
55 239 158
23 189 149
250 208 4
134 49 214
118 152 66
223 193 216
181 73 34
128 76 27
141 250 14
185 220 207
95 11 128
31 46 180
3 172 130
58 65 211
79 27 243
102 200 1
87 109 36
126 105 83
240 76 75
167 26 148
154 203 10
43 142 144
232 153 41
77 190 219
160 95 233
38 107 106
149 126 50
230 90 171
10 61 155
74 251 156
217 36 12
90 227 206
105 243 125
166 98 206
246 139 168
39 247 178
22 50 220
34 74 50
162 86 149
146 123 17
62 30 93
153 44 142
207 149 142
197 28 68
171 172 161
43 195 13
139 239 89
6 155 217
127 172 253
122 186 114
88 84 0
26 38 230
118 242 75
117 85 99
57 68 108
156 179 85
64 62 239
16 50 32
177 136 225
133 27 49
44 237 59
3 252 136
184 45 11
55 95 92
1 88 51
162 219 87
239 99 120
251 181 108
191 162 186
110 62 199
140 128 163
21 191 47
132 242 225
54 229 46
223 214 32
230 139 78
252 247 118
234 25 9
110 130 228
131 153 4
30 237 166
43 65 100
90 142 25
56 172 74
218 42 55
179 223 229
8 152 51
2 60 133
238 88 253
7 223 167
50 165 32
59 46 30
126 41 177
210 239 123
248 200 233
213 204 199
196 55 97
74 31 140
166 250 150
95 195 171
144 193 93
137 242 159
7 104 251
58 208 75
192 59 124
172 85 7
178 79 58
107 50 134
158 8 20
82 94 163
46 219 152
87 114 142
229 186 63
125 234 177
90 244 171
61 13 171
86 178 190
19 122 17
215 188 50
81 218 150
200 33 124
70 65 38
199 156 169
158 88 97
197 63 79
7 110 135
121 109 240
66 4 27
50 98 26
196 11 220
142 35 241
119 196 13
200 73 114
35 150 97
85 189 164
193 167 247
73 60 64
15 4 54
202 212 195
238 77 179
94 196 117
3 75 199
101 50 129
131 253 22
198 238 145
249 229 236
168 43 186
235 138 202
52 194 82
104 252 33
108 17 231
73 218 213
84 9 81
32 246 99
233 218 134
92 253 190
108 124 253
156 238 200
55 221 51
157 58 23
112 102 81
183 95 164
192 99 250
79 245 22
232 141 213
11 167 9
155 174 57
126 124 76
62 239 246
63 230 176
53 81 1
65 114 188
110 95 26
208 58 133
209 99 34
109 89 97
207 224 112
199 85 224
158 63 207
120 254 123
33 248 129
1 123 118
14 59 241
42 252 87
230 97 244
182 121 126
227 44 247
67 171 157
47 203 149
149 70 136
59 131 149
42 185 178
25 111 87
143 29 134
248 119 86
93 200 12
224 39 202
172 36 146
86 67 181
105 181 5
41 120 227
108 109 230
188 250 126
32 110 168
132 255 228
152 23 86
232 248 48
165 158 112
189 217 105
36 30 152
219 154 152
43 124 155
177 91 49
159 246 236
60 51 159
61 109 19
205 217 23
36 63 166
148 138 3
36 145 219
116 24 191
193 98 219
152 145 206
134 226 17
123 204 27
16 217 86
2 23 187
38 204 207
44 10 122
0 107 241
146 206 25
237 196 159
30 196 105
171 143 232
183 252 77
50 131 205
134 195 207
197 40 73
92 18 6
55 202 24
200 65 2
196 70 85
175 188 161
205 115 5
33 161 144
35 201 102
123 11 9
161 26 37
28 245 112
36 223 213
161 240 151
220 130 235
26 169 82
214 217 105
179 151 115
18 166 136
147 4 225
237 33 55
163 3 247
181 138 96
74 204 173
60 211 52
137 156 214
107 32 73
221 255 111
2 131 184
118 103 248
177 109 112
32 118 164
248 147 66
64 185 29
191 0 92
10 244 54
209 152 237
105 87 115
158 2 179
214 212 143
228 199 73
173 51 161
216 70 184
44 94 60
85 212 113
134 18 207
67 213 142
218 88 136
163 237 39
119 247 67
137 105 172
211 248 248
142 33 218
113 2 121
109 4 168
246 27 102
134 214 70
160 229 146
236 150 159
50 205 13
129 53 149
0 130 51
169 214 116
125 159 153
216 248 58
116 189 135
139 182 73
213 210 93
255 159 199
99 130 115
88 49 194
210 66 66
171 100 242
210 128 219
92 204 75
64 63 174
59 148 112
95 21 183
153 14 98
140 4 158
109 250 218
214 197 39
44 223 151
57 228 4
214 88 242
107 118 249
220 67 159
12 181 202
170 160 58
148 85 64
181 114 240
108 98 228
149 160 208
253 140 3
103 116 230
144 74 9
173 188 136
191 202 32
254 162 40
38 193 32
23 223 202
152 4 245
10 250 24
91 77 248
37 103 79
115 98 235
252 226 101
70 206 241
179 160 181
2 129 43
218 198 20
238 255 111
17 188 13
175 164 163
54 2 77
235 220 105
180 69 190
40 178 184
62 153 86
8 170 221
253 246 45
139 221 166
114 147 77
52 248 125
13 209 236
133 246 145
52 78 210
153 19 240
85 83 2
163 229 125
71 89 233
14 184 204
122 88 167
131 86 158
156 38 0
54 187 178
84 100 32
75 213 140
122 238 127
224 239 168
61 138 181
208 122 48
195 149 6
221 175 146
165 71 86
61 119 89
128 34 224
97 177 94
14 1 170
58 41 97
8 7 14
20 94 126
93 67 140
178 125 140
13 109 22
6 25 70
255 200 222
190 198 181
74 28 1
24 46 7
8 109 114
58 40 97
204 150 130
241 0 235
235 96 27
240 47 30
96 134 193
255 107 196
28 16 55
199 204 84
31 41 169
133 252 219
56 112 174
135 110 255
23 64 143
113 115 79
216 150 134
223 65 36
72 186 74
100 66 206
79 244 156
151 112 194
38 219 133
44 15 67
126 139 107
122 192 179
120 71 240
170 215 51
165 5 251
186 140 44
204 251 69
177 86 103
75 113 23
155 223 92
217 103 181
187 22 171
242 17 253
141 188 85
90 9 133
230 0 67
29 132 210
193 118 250
201 69 29
147 166 77
81 244 35
64 196 188
55 202 211
206 212 136
237 253 146
159 219 147
152 110 1
74 161 91
20 63 150
183 254 229
128 44 216
170 50 248
230 139 169
130 226 72
111 105 232
9 172 167
145 60 94
32 26 238
228 22 21
90 239 104
125 130 15
121 250 118
246 243 209
185 30 204
90 189 253
143 126 181
184 214 206
50 116 200
155 182 255
55 133 55
169 20 195
155 9 29
11 109 14
117 50 61
244 171 57
231 149 7
76 145 48
241 229 219
180 153 132
15 152 252
189 83 34
78 75 16
21 62 140
122 165 103
26 252 184
224 252 191
58 101 109
